Geneid	1714__30min_MOXI_N=3_library-read-1.fastq.gz
gene-b1343	766
gene-b1344	725
gene-b1345	279
gene-b1346	15
gene-b1347	16
gene-b4714	14
gene-b1348	4
gene-b1349	156
gene-b1350	364
gene-b1351	4
gene-b4526	8
gene-b1352	10
gene-b1353	33
gene-b4527	11
gene-b1355	13
gene-b1356	388
gene-b1357	47
gene-b1358	57
gene-b1359	69
gene-b1360	107
gene-b1361	168
gene-b4528	131
gene-b1363	126
gene-b1365	8
gene-b1366	124
gene-b1368	363
gene-b1370	374
gene-b1372	459
gene-b1373	25
gene-b1374	1288
gene-b1375	48
gene-b4744	105
gene-b1376	20837
gene-b1377	98
gene-b4427	1256
gene-b1378	38529
gene-b4529	2213
gene-b1379	1718
gene-b1380	12419
gene-b1381	905
gene-b1382	226
gene-b1383	249
gene-b1384	551
gene-b1385	1018
gene-b1386	289
gene-b1387	204
gene-b1388	28
gene-b1389	25
gene-b1390	76
gene-b1391	10
gene-b1392	45
gene-b1393	52
gene-b1394	14
gene-b1395	148
gene-b1396	39
gene-b1397	981
gene-b1398	989
gene-b1399	1146
gene-b1400	1019
gene-b4674	0
gene-b1402	54
gene-b1403	9
gene-b1404	42
gene-b1406	1238
gene-b1407	154
gene-b1408	4
gene-b1409	22
gene-b1410	141
gene-b1411	218
gene-b1412	518
gene-b1413	4583
gene-b1414	1805
gene-b1415	18509
gene-b1418	249
gene-b4597	82
gene-b1419	247
gene-b4428	2660
gene-b1420	2764
gene-b4429	1438
gene-b1421	487
gene-b1422	1449
gene-b1423	4307
gene-b1424	2475
gene-b1426	161
gene-b1427	611
gene-b1428	891
gene-b1429	545
gene-b1430	218
gene-b1431	11339
gene-b1432	615
gene-b1433	113
gene-b1434	130
gene-b1435	1041
gene-b1436	179
gene-b4532	296
gene-b1438	436
gene-b1439	573
gene-b1440	2096
gene-b1441	779
gene-b1442	359
gene-b1443	283
gene-b1444	2261
gene-b4598	844
gene-b1445	52
gene-b1446	1108
gene-b1447	542
gene-b1448	363
gene-b1449	4202
gene-b1450	934
gene-b1451	578
gene-b1452	1291
gene-b1453	138
gene-b1454	1482
